Name,Album,Artist
"Zinda Banda","Jawan",Anirudh Ravichander
"Arjan Vailly","Animal",Bhupinder Babbal
"Jaani Dushman","Jaani Dushman",Sonu Nigam & Jaspinder Narula
"Goli Maar","Goli Maar (Single)",AP Dhillon
"Warning Shots","Warning Shots (Single)",Sidhu Moose Wala
"Jatt Da Muqabala","Jatt Da Muqabala (Single)",Sidhu Moose Wala
"Bandook","Bandook (Single)",Karan Aujla
"Khalnayak","Khalnayak",Ila Arun & Vinod Rathod
"Malhari","Bajirao Mastani",Vishal Dadlani
"Sadda Haq","Rockstar",Mohit Chauhan
"Aarambh Hai Prachand","Gulaal",Piyush Mishra
"Blood Sweat And Tears","Blood Sweat And Tears (Single)",Karan Aujla
"Daku","Daku (Single)",Inderpal Moga & Chani Nattan
"Takeover","Takeover (Single)",AP Dhillon
"Behram","Behram (Single)",Angrej Ali
