Name,Album,Artist
"Ranjha","Shershaah",Jasleen Royal & B Praak
"Raatan Lambiyan","Shershaah",Jubin Nautiyal & Asees Kaur
"Kahani Suno 2.0","Kahani Suno 2.0 (Single)",Kaifi Khalil
"Kesariya","Brahmastra",Arijit Singh
"Apna Bana Le","Bhediya",Arijit Singh
"Maan Meri Jaan","Maan Meri Jaan (Single)",King
"Pasoori","Pasoori (Single)",Ali Sethi & Shae Gill
"Doobey","Gehraiyaan",Lothika
"Khairiyat","Chhichhore",Arijit Singh
"Tum Se Hi","Jab We Met",Mohit Chauhan
"Iktara","Wake Up Sid",Kavita Seth & Amitabh Bhattacharya
"Tera Hone Laga Hoon","Ajab Prem Ki Ghazab Kahani",Atif Aslam & Alisha Chinai
"No Love","No Love (Single)",Shubh
"Chaand Baaliyan","Chaand Baaliyan (Single)",Aditya A
"With You","With You (Single)",AP Dhillon
