Name,Album,Artist
"Satranga","Animal",Arijit Singh
"Ve Kamleya","Rocky Aur Rani Kii Prem Kahaani",Arijit Singh & Shreya Ghoshal
"Jaan Ban Gaye","Khuda Haafiz",Mithoon, Vishal Mishra, Asees Kaur
"Tum Hi Aana","Marjaavaan",Jubin Nautiyal
"Channa Ve","Bhoot – Part One: The Haunted Ship",Akhil Sachdeva & Mansheel Gujral
"Shayad","Love Aaj Kal",Arijit Singh
"Tu Hai To Mujhe Phir Aur Kya Chahiye","Zara Hatke Zara Bachke",Arijit Singh
"Agar Tum Saath Ho","Tamasha",Arijit Singh & Alka Yagnik
"Filhall","Filhall (Single)",B Praak
"Pachtaoge","Jaani Ve",Arijit Singh
"Qismat","Qismat",Ammy Virk
"Mann Bharryaa 2.0","Shershaah",B Praak
"Ruaan","Tiger 3",Arijit Singh
"Dooriyan","Dooriyan (Single)",Dino James & Kaprila
"Dil Jhoom","Gadar 2",Arijit Singh & Mithoon
