Name,Album,Artist
"Jamal Kudu","Animal",Mehul gadani,Chorus
"Jawan Title Track","Jawan",Anirudh Ravichander
"Deva Deva","Brahmastra",Arijit Singh & Jonita Gandhi
"Saami Saami","Pushpa: The Rise",Mounika Yadav
"Dhaagon Se Baandhaa","Raksha Bandhan",Arijit Singh & Shreya Ghoshal
"Dil Galti Kar Baitha Hai","Dil Galti Kar Baitha Hai (Single)",Jubin Nautiyal
"Bijlee Bijlee","Bijlee Bijlee (Single)",Harrdy Sandhu
"Lover","Lover (Single)",Diljit Dosanjh
"Jugnu","Jugnu (Single)",Badshah
"Param Sundari","Mimi",Shreya Ghoshal
"Nadiyon Paar","Roohi",Shamur, Rashmeet Kaur, IP Singh
"Brown Munde","Brown Munde (Single)",AP Dhillon
"Insane","Insane (Single)",AP Dhillon
"Thoda Thoda Pyaar","Thoda Thoda Pyaar (Single)",Stebin Ben
"Tumbe Te Zumba","Chandigarh Kare Aashiqui",Sukhwinder Singh
